35718,"Накопитель SSD 2.5""  60GB INTEL (SSDSC2CT060A3K5)",U0018955,SSDSC2CT060A3K5,2121.24,"внутренний, 330, Тип флеш-памяти - MLC, SATA 6Gb/s, 500Mb/s (SATA 6 Gb/s), 400Mb/s (SATA 6 Gb/s), 1.2 млн. часов","Накопители Intel серии 330 – это оптимальное решение для модернизации существующих мобильных и настольных ПК, которое объединяет в себе высокую производительность и исключительное качество, характерное для всей продукции Intel. Предлагаются накопители различной емкости: 60 ГБайт, 120 ГБайт и 180 Гбайт, которые позволяют увеличить общую производительность системы и скорость работы различных приложений.<br><br>В отличие от обычных твердых дисков, которые имеют вращающиеся диски и подвижные компоненты, твердотельные накопители предлагают более надежное и энергоэффективное решение для хранения данных, которое значительно повышает производительность ПК для эффективной работы приложений, часто обращающихся к подсистеме ввода-вывода.",36,http://opt.brain.com.ua/static/images/prod_img/5/5/U0018955_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""   60GB",внутренний,330,60 GB,MLC,"2.5""",SATA 6Gb/s,500Mb/s (SATA 6 Gb/s),400Mb/s (SATA 6 Gb/s),1.2 млн. часов,BOX,Гонконг,36
35740,"Накопитель SSD 2.5"" 240GB INTEL (SSDSC2CT240A3K5)",U0025215,SSDSC2CT240A3K5,5421.24,"внутренний, 330, Тип флеш-памяти - MLC, SATA 6Gb/s, 500Mb/s (SATA 6 Gb/s), 450Mb/s (SATA 6 Gb/s), 1.2 млн. часов","Intel MLC/SSDSC2CT240A3K5<br><br>Умный и быстрый. Твердотельный накопитель Intel SSD 330 представляет собой надежную альтернативу жестким дискам, обеспечивающую более высокую производительность и защиту данных.",36,http://opt.brain.com.ua/static/images/prod_img/1/5/U0025215_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""  240GB",внутренний,330,240 GB,MLC,"2.5""",SATA 6Gb/s,500Mb/s (SATA 6 Gb/s),450Mb/s (SATA 6 Gb/s),1.2 млн. часов,BOX,Гонконг,36
35742,"Накопитель SSD 2.5"" 180GB INTEL (SSDSC2CW180A310)",U0020863,SSDSC2CW180A310,2485.04,"внутренний, 520, Тип флеш-памяти - MLC, SATA 6Gb/s, 520Mb/s, 550Mb/s (SATA 6 Gb/s), 1.2 млн. часов","Накопитель SSD 2.5""  180GB Intel MLC/SSDSC2CT180A3K5 520<br>Замена обычного HDD диска в ноутбуке твердотельным накопителем — пожалуй, наиболее простой способ увеличить быстродействие системы. Накопитель  Intel емкостью 180 ГБ с интерфейсом SATA III 6 Гбит/с – отличное решение для апгрейда мобильного компьютера.",36,http://opt.brain.com.ua/static/images/prod_img/6/3/U0020863_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""  180GB",внутренний,520,180 GB,MLC,"2.5""",SATA 6Gb/s,520Mb/s,550Mb/s (SATA 6 Gb/s),1.2 млн. часов,OEM,Гонконг,36
35743,"Накопитель SSD 2.5"" 120GB INTEL (SSDSC2CW120A310)",U0006536,SSDSC2CW120A310,3864.96,"внутренний, 520, Тип флеш-памяти - MLC, SATA 6Gb/s, 550Mb/s (SATA 6 Gb/s), 500Mb/s, 1.2 млн. часов","<strong>SSD 120GB Intel MLC/SSDSC2CW120A310 520</strong><br><br><br><br>Опережайте конкурентов с производительностью на уровне до 6 Гбит/с. Технологии твердотельных накопителей Intel продолжают развиваться. Твердотельные накопители Intel серии 520 доступны в вариантах с различной емкостью, имеют встроенные функции защиты данных и значительно превосходят по производительности традиционные жесткие диски.<br><br><br><br>Твердотельные диски Intel серии 520 построены на базе 25-нанометровой высококачественной флэш-памяти Intel NAND. Они позволяют повысить производительность ПК в самых важных областях. Благодаря скорости случайного чтения до 50 000 операций ввода/вывода в секунду (IOPS) и скорости последовательного чтения до 550 МБ/с ваш ПК будет быстро выполнять самые разнообразные приложения и обрабатывать ресурсоемкие задачи. Производительность операций записи составляет до 80 000 операций ввода/вывода в секунду, а скорость последовательной записи составляет 500 МБ/с, что позволит вам раскрыть весь потенциал ваших приложений. Твердотельные накопители Intel серии 520 разработаны для самых требовательных геймеров, специалистов по мультимедиа и энтузиастов технологий.<br><br><br><br>В новых твердотельных накопителях Intel серии 520 используются самые лучшие функции безопасности среди твердотельных накопителей Intel. В их начальную конфигурацию входит поддержка 256-разрядного шифрования на базе новых команд стандарта Intel AES-NI. В случае потери или кражи компьютера вы можете быть уверены, что ваши личные данные надежно защищены с помощью передовой технологии шифрования. Кроме того, в твердотельных накопителях Intel серии 520 имеются комплексные функции защиты данных, обеспечивающие целостность данных при обмене между компьютером и твердотельным накопителем.<br><br><br><br>Теперь вы можете безопасно использовать высокопроизводительные твердотельные накопители Intel серии 520, чтобы опередить соперников в играх или выйти на новые уровни творчества и продуктивной работы. Выбор за вами!",36,http://opt.brain.com.ua/static/images/prod_img/3/6/U0006536_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""  120GB",внутренний,520,120 GB,MLC,"2.5""",SATA 6Gb/s,550Mb/s (SATA 6 Gb/s),500Mb/s,1.2 млн. часов,OEM,Гонконг,36
35744,"Накопитель SSD 2.5""  60GB INTEL (SSDSC2CW060A3K5)",U0028657,SSDSC2CW060A3K5,2765.14,"внутренний, 520, Тип флеш-памяти - MLC, SATA 6Gb/s, 550Mb/s (SATA 6 Gb/s), 480Mb/s (SATA 6 Gb/s), 1.2 млн. часов","Накопители Intel серии 520 – это оптимальное решение для модернизации существующих мобильных и настольных ПК, которое объединяет в себе высокую производительность и исключительное качество, характерное для всей продукции Intel. Предлагаются накопители различной емкости: 60 ГБайт, 120 ГБайт и 180 Гбайт, которые позволяют увеличить общую производительность системы и скорость работы различных приложений.<br><br>В отличие от обычных твердых дисков, которые имеют вращающиеся диски и подвижные компоненты, твердотельные накопители предлагают более надежное и энергоэффективное решение для хранения данных, которое значительно повышает производительность ПК для эффективной работы приложений, часто обращающихся к подсистеме ввода-вывода.",36,http://opt.brain.com.ua/static/images/prod_img/5/7/U0028657_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""   60GB",внутренний,520,60 GB,MLC,"2.5""",SATA 6Gb/s,550Mb/s (SATA 6 Gb/s),480Mb/s (SATA 6 Gb/s),1.2 млн. часов,BOX,Гонконг,36
35745,"Накопитель SSD 2.5""  60GB INTEL (SSDSC2CW060A310)",U0030493,SSDSC2CW060A310,2511.96,"внутренний, 520, Тип флеш-памяти - MLC, SATA 6Gb/s, 550Mb/s (SATA 6 Gb/s), 520Mb/s (SATA 6 Gb/s), 1.2 млн. часов, 100 x 70 x 9.5мм, 120 г","Твердотельный накопитель SSD   Intel MLC/SSDSC2CW060A310  представляет собой надежную альтернативу жестким дискам, обеспечивающую более высокую производительность и защиту данных.<br><br>Твердотельные накопители Intel серии 520 имеют стандартный форм-фактор (2.5 дюйма/9.5 мм) для простой замены традиционных жёстких дисков. Они могут использоваться совместно с уже установленным жестким диском в настольных ПК или отдельно при модернизации ноутбуков.",36,http://opt.brain.com.ua/static/images/prod_img/9/3/U0030493_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""   60GB",внутренний,520,60 GB,MLC,"2.5""",SATA 6Gb/s,550Mb/s (SATA 6 Gb/s),520Mb/s (SATA 6 Gb/s),1.2 млн. часов,OEM,100 x 70 x 9.5мм,120 г,Гонконг,36
35746,"Накопитель SSD 2.5"" 180GB INTEL (SSDSC2CT180A3K5)",U0011942,SSDSC2CT180A3K5,4535.79,"внутренний, 330, Тип флеш-памяти - MLC, SATA 6Gb/s, 500Mb/s (SATA 6 Gb/s), 450Mb/s (SATA 6 Gb/s), 1.2 млн. часов","SSD 180GB Intel MLC/SSDSC2CT180A3K5 330<br><br>Накопители Intel SSD 330 созданы на базе многоуровневой 25-нм флеш-памяти NAND. Используемый в устройствах интерфейс SATA (6 Гбит/с) позволяет в два раза увеличить пропускную способность по сравнению с твердотельными накопителями Intel серии 320 с интерфейсом SATA (3 Гбит/с), обеспечивая скорость последовательного чтения до 500 Мбайт/с и скорость последовательной записи до 450 Мбайт/с. Производительность операций произвольного чтения может достигать 22500 операций ввода-вывода в секунду и 33000 операций ввода-вывода в секунду для произвольной записи.",36,http://opt.brain.com.ua/static/images/prod_img/4/2/U0011942_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""  180GB",внутренний,330,180 GB,MLC,"2.5""",SATA 6Gb/s,500Mb/s (SATA 6 Gb/s),450Mb/s (SATA 6 Gb/s),1.2 млн. часов,BOX,Гонконг,36
35747,"Накопитель SSD 2.5"" 120GB INTEL (SSDSC2CT120A3K5)",U0013090,SSDSC2CT120A3K5,3234.53,"внутренний, 330, Тип флеш-памяти - MLC, SATA 6Gb/s, 500Mb/s (SATA 6 Gb/s), 450Mb/s (SATA 6 Gb/s), 1.2 млн. часов","SSD 120GB Intel MLC/SSDSC2CT120A3K5 330<br><br>Накопители Intel SSD 330 созданы на базе многоуровневой 25-нм флеш-памяти NAND. Используемый в устройствах интерфейс SATA (6 Гбит/с) позволяет в два раза увеличить пропускную способность по сравнению с твердотельными накопителями Intel серии 320 с интерфейсом SATA (3 Гбит/с), обеспечивая скорость последовательного чтения до 500 Мбайт/с и скорость последовательной записи до 450 Мбайт/с. Производительность операций произвольного чтения может достигать 22500 операций ввода-вывода в секунду и 33000 операций ввода-вывода в секунду для произвольной записи.",36,http://opt.brain.com.ua/static/images/prod_img/9/0/U0013090_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""  120GB",внутренний,330,120 GB,MLC,"2.5""",SATA 6Gb/s,500Mb/s (SATA 6 Gb/s),450Mb/s (SATA 6 Gb/s),1.2 млн. часов,BOX,Гонконг,36
41681,"Накопитель SSD 2.5"" 120GB Kingston (SV300S37A/120G)",U0033541,SV300S37A/120G,593.21,"внутренний, V300, Тип флеш-памяти - MLC, SATA 6Gb/s, 450Mb/s (SATA 6 Gb/s), 450Mb/s (SATA 6 Gb/s), 1м. ч.","Для любой организации использование накопителей SSD Kingston V300 120GB 2.5"" (SV300S37A/120G) будет означать значительную экономию накладных расходов и снижение совокупной стоимости владения. Накопители SSDNow смогут продлить срок службы и значительно увеличить производительность существующих компьютеров благодаря более высокой скорости работы, высочайшей стабильности и легендарной надежности, характерной для всей продукции компании Kingston. <br><br>От загрузки системы и до открытия приложений - накопители SSDNow значительно сокращают время ожидания. Накопители SSDNow не имеют подвижных компонентов, поэтому они имеют удароустойчивую конструкцию, гарантируют стабильную работу практически в любых условиях и продлевают срок службы как настольных компьютеров, так и ноутбуков.",36,http://opt.brain.com.ua/static/images/prod_img/4/1/U0033541_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",Kingston,"2.5""  120GB",внутренний,V300,120 GB,MLC,"2.5""",SATA 6Gb/s,450Mb/s (SATA 6 Gb/s),450Mb/s (SATA 6 Gb/s),1м. ч.,BOX,Гонконг,36
41682,"Накопитель SSD 2.5"" 240GB INTEL (SSDSC2CW240A310)",U0034198,SSDSC2CW240A310,4589.38,"внутренний, 520, Тип флеш-памяти - MLC, SATA 6Gb/s, 550Mb/s (SATA 6 Gb/s), 520Mb/s (SATA 6 Gb/s), 1.2 млн. часов","Твердотельные диски  SSD INTEL 520 240GB 2.5"" (SSDSC2CW240A310) построены на базе 25-нанометровой высококачественной флэш-памяти Intel NAND. Они позволяют повысить производительность ПК в самых важных областях. Благодаря скорости случайного чтения до 50 000 операций ввода/вывода в секунду (IOPS) и скорости последовательного чтения до 550 МБ/с ваш ПК будет быстро выполнять самые разнообразные приложения и обрабатывать ресурсоемкие задачи.",36,http://opt.brain.com.ua/static/images/prod_img/9/8/U0034198_big.jpg,"Ноутбуки, планшеты > Комплектующие к ноутбукам > Внутренние SSD",INTEL,"2.5""  240GB",внутренний,520,240 GB,MLC,"2.5""",SATA 6Gb/s,550Mb/s (SATA 6 Gb/s),520Mb/s (SATA 6 Gb/s),1.2 млн. часов,OEM,Гонконг,36
